step,slip_angle_deg,target_vertical_load_n,camber_deg,slip_ratio,speed_mps,pressure_kpa,carcass_temp_c,deflection_m,settle_time_s,sample_time_s,notes
1,-12,5000,0,0,,,,,2,3,
2,-11,5000,0,0,,,,,2,3,
3,-10,5000,0,0,,,,,2,3,
4,-9,5000,0,0,,,,,2,3,
5,-8,5000,0,0,,,,,2,3,
6,-7,5000,0,0,,,,,2,3,
7,-6,5000,0,0,,,,,2,3,
8,-5,5000,0,0,,,,,2,3,
9,-4,5000,0,0,,,,,2,3,
10,-3,5000,0,0,,,,,2,3,
11,-2,5000,0,0,,,,,2,3,
12,-1,5000,0,0,,,,,2,3,
13,0,5000,0,0,,,,,2,3,
14,1,5000,0,0,,,,,2,3,
15,2,5000,0,0,,,,,2,3,
16,3,5000,0,0,,,,,2,3,
17,4,5000,0,0,,,,,2,3,
18,5,5000,0,0,,,,,2,3,
19,6,5000,0,0,,,,,2,3,
20,7,5000,0,0,,,,,2,3,
21,8,5000,0,0,,,,,2,3,
22,9,5000,0,0,,,,,2,3,
23,10,5000,0,0,,,,,2,3,
24,11,5000,0,0,,,,,2,3,
25,12,5000,0,0,,,,,2,3,
