step,slip_angle_deg,target_vertical_load_n,actual_vertical_load_n,lateral_force_n,longitudinal_force_n,aligning_torque_nm,notes
1,-12,5000,,,,,
2,-11,5000,,,,,
3,-10,5000,,,,,
4,-9,5000,,,,,
5,-8,5000,,,,,
6,-7,5000,,,,,
7,-6,5000,,,,,
8,-5,5000,,,,,
9,-4,5000,,,,,
10,-3,5000,,,,,
11,-2,5000,,,,,
12,-1,5000,,,,,
13,0,5000,,,,,
14,1,5000,,,,,
15,2,5000,,,,,
16,3,5000,,,,,
17,4,5000,,,,,
18,5,5000,,,,,
19,6,5000,,,,,
20,7,5000,,,,,
21,8,5000,,,,,
22,9,5000,,,,,
23,10,5000,,,,,
24,11,5000,,,,,
25,12,5000,,,,,
